Location,RL,Date,Species ,Pass,PassTime,Count,TL,FL,W,Tag,Recap,Biop,Mortality,StreamW,Depletion
CLT,251,25-Sep-25,WCT,1,,1,,75,4.2,,,,,4.15,2
Buffalo,294,10-Oct-25,WCT,1,,1,,75,4.2,,,,,1.5,2
Pintler,205,2-Oct-25,WCT,2,,1,,76,4.2,,,,,5.9,2
Buffalo,294,10-Oct-25,WCT,1,,1,,76,4.2,,,,,1.5,2
Buffalo,294,10-Oct-25,WCT,3,,1,,77,4.2,,,,,1.5,2
Buffalo,294,10-Oct-25,WCT,2,,1,,77,4.2,,,,,1.5,2
Cow,250,27-Sep-25,WCT,1,,1,,79,4.2,,,,,7.2,2
CCT,261,1-Jul-25,WCT,2,1594,1,,71,4.2,,,,,1.8,1
CCT,261,1-Jul-25,WCT,3,1352,1,,71,4.2,,,,,1.8,1
Pintler,205,2-Oct-25,WCT,1,,1,,70,4.3,,,,,5.9,2
CLT,251,25-Sep-25,WCT,3,,1,,74,4.3,,,,,4.15,2
Buffalo,294,10-Oct-25,WCT,3,,1,,75,4.3,,,,,1.5,2
CLT,251,25-Sep-25,WCT,2,,1,,76,4.3,,,,,4.15,2
CLT,251,25-Sep-25,WCT,1,,1,,76,4.3,,,,,4.15,2
Pintler,205,2-Oct-25,WCT,1,,1,,76,4.3,,,,,5.9,2
Jerry,250,9-Oct-25,WCT,1,,1,,76,4.3,,,,,2.25,2
CLT,251,25-Sep-25,WCT,1,,1,,77,4.3,,,,,4.15,2
Jerry,250,9-Oct-25,WCT,2,,1,,77,4.3,,,,,2.25,2
Buffalo,294,10-Oct-25,WCT,1,,1,,77,4.3,,,,,1.5,2
CLT,251,30-Jun-25,WCT,3,2267,1,77,74,4.3,,,,,4.15,1
CCT,261,1-Jul-25,WCT,1,1457,1,75,72,4.3,,,,,1.8,1
CCT,261,1-Jul-25,WCT,2,1594,1,,70,4.3,,,,,1.8,1
Cow,295,2-Jul-25,WCT,1,,1,,75,4.3,438040,,,mort,7.2,1
Cow,295,2-Jul-25,WCT,3,,1,,73,4.3,,,,,7.2,1
CLT,251,25-Sep-25,WCT,2,,1,,76,4.4,,,,,4.15,2
Dry,210,4-Oct-25,WCT,2,,1,,77,4.4,,,,,3.3,2
Pintler,205,2-Oct-25,WCT,1,,1,,78,4.4,,,,,5.9,2
Dry,210,4-Oct-25,WCT,1,,1,,78,4.4,,,,,3.3,2
Buffalo,294,10-Oct-25,WCT,2,,1,,78,4.4,,,,,1.5,2
Buffalo,294,10-Oct-25,WCT,1,,1,,80,4.4,,,,,1.5,2
CLT,251,30-Jun-25,WCT,1,3260,1,80,75,4.4,437449,,,,4.15,1
CCT,261,1-Jul-25,WCT,1,1457,1,77,73,4.4,,,,,1.8,1
Cow,295,2-Jul-25,WCT,3,,1,,76,4.4,,,,,7.2,1
Plimpton,236,8-Jul-25,WCT,1,,1,,74,4.4,,,,,3.3,1
Buffalo,294,15-Jul-25,WCT,1,,1,,75,4.4,,,,,1.5,1
Jerry,250,4-Aug-25,WCT,1,,1,,73,4.4,,,,,2.25,1
Jerry,250,9-Oct-25,WCT,1,,1,,76,4.5,,,,,2.25,2
Jerry,250,9-Oct-25,WCT,1,,1,,77,4.5,,,,,2.25,2
Buffalo,294,10-Oct-25,WCT,2,,1,,78,4.5,,,,,1.5,2
Buffalo,294,10-Oct-25,WCT,1,,1,,78,4.5,,,,,1.5,2
CLT,251,30-Jun-25,WCT,1,3260,1,81,77,4.5,444727,,,,4.15,1
CCT,261,1-Jul-25,WCT,1,1457,1,72,69,4.5,,,,,1.8,1
